20
4 	4 16 1 3
4 	5 17 2 0
4 	6 18 3 1
4 	7 19 0 2
4 	8 0 5 7
4 	9 1 6 4
4 	10 2 7 5
4 	11 3 4 6
4 	12 4 9 11
4 	13 5 10 8
4 	14 6 11 9
4 	15 7 8 10
4 	16 8 13 15
4 	17 9 14 12
4 	18 10 15 13
4 	19 11 12 14
4 	0 12 17 19
4 	1 13 18 16
4 	2 14 19 17
4 	3 15 16 18
6	1 2 4 5 8 9
6	0 3 6 7 10 11
6	0 3 12 13 16 17
6	1 2 14 15 18 19
3	0 5 8
4	0 4 6 9
4	1 5 7 10
3	1 6 11
4	0 4 9 12
5	0 5 8 10 13
5	1 6 9 11 14
4	1 7 10 15
4	2 8 13 16
5	2 9 12 14 17
5	3 10 13 15 18
4	3 11 14 19
3	2 12 17
4	2 13 16 18
4	3 14 17 19
3	3 15 18
