30
12 	 1 2 3 4 5 6 7 8 9 10 11 12 
4 	0 24 13 14 
4 	0 13 14 15 
4 	0 14 15 16 
4 	0 15 16 17 
4 	0 16 17 18 
4 	0 17 18 19 
4 	0 18 19 20 
4 	0 19 20 21 
4 	0 20 21 22 
4 	0 21 22 23 
4 	0 22 23 24 
4 	0 23 24 13 
4 	 25 5 1 2 
4 	 25 1 2 3 
4 	 25 2 3 4 
4 	 25 3 4 5 
4 	 25 4 5 6 
4 	 25 5 6 7 
4 	 25 6 7 8 
4 	 25 7 8 9 
4 	 25 8 9 10 
4 	 25 9 10 11 
4 	 25 10 11 12 
4 	 25 11 12 1 
12 	 13 14 15 16 17 18 19 20 21 22 23 24 
0
0
0
0
4 	6 24 1 5
4 	7 25 2 0
4 	8 26 3 1
4 	9 27 4 2
4 	10 28 5 3
4 	11 29 0 4
4 	12 0 7 11
4 	13 1 8 6
4 	14 2 9 7
4 	15 3 10 8
4 	16 4 11 9
4 	17 5 6 10
4 	18 6 13 17
4 	19 7 14 12
4 	20 8 15 13
4 	21 9 16 14
4 	22 10 17 15
4 	23 11 12 16
4 	24 12 19 23
4 	25 13 20 18
4 	26 14 21 19
4 	27 15 22 20
4 	28 16 23 21
4 	29 17 18 22
4 	0 18 25 29
4 	1 19 26 24
4 	2 20 27 25
4 	3 21 28 26
4 	4 22 29 27
4 	5 23 24 28
